,title,desc,exp,rating,cuisine_tags,img,url,cover_image,adress,post,location,more_desc,phone,social_url
39,Boombalambuz, ,$,,"blinçik, desert, pankeyk",https://prod-wolt-venue-images-cdn.wolt.com/5e3d0955ebaf9deec5d8394f/5a926158-4979-11ea-b410-0a586475ce3f_DSC09878%20copy.jpg,https://wolt.com/az/aze/baku/restaurant/boombalambuz,https://prod-wolt-venue-images-cdn.wolt.com/5e3d0955ebaf9deec5d8394f/bfaa29a4-4979-11ea-9dfb-0a5864762221_DSC09856%20copy.jpg,Haji Zeynalabdin Taghiyev str. 20C,AZ1000 Baku,"https://maps.google.com/?q=40.37072113970363,49.83847788249661","BoomBalamBuz - yeni dad çalarlarının axtarışında olanlar üçün özünəməxsus istirahət formatıdır. Burada siz lakonik interyer və xoş mühitin qayğıkeş işçilər ilə birlikdə yaratdığı ahəngi asudə vaxtınızın əvəzolunmaz komponentinə çevirəcəksiniz. BoomBalambuzun konseptual fəlsəfəsi qonaqlara ən dadlı frikşeyk və qaynar içkilər təqdim etməkdən ibarətdir. Nutella xanım, Qırmızı Papaq, Robert Brownie Jr. və s. – sadəcə nağıl qəhrəmanları deyil, bizim baristaların yaradıcı və çılğın fantaziyalarının dadlı məhsuludur. Bakının mərkəzində yerləşən məkanımız qonaqları yüksək keyfiyyət və demokratik qiymət siyasəti ilə hər gün sevindirir. Xoş gəlmişsiniz!",+99450515 26 66,https://www.instagram.com/boombalambuz/?hl=en
40,Kumpir №1,"Rain or shine, it’s time to dine",$$,8.2,azərbəycan,https://prod-wolt-venue-images-cdn.wolt.com/5fc0c0ccfc85a1df04988f73/4c8ed9f6-86fe-11eb-a444-d6b735ecb45d_cover.jpg,https://wolt.com/az/aze/baku/restaurant/xash-house,https://prod-wolt-venue-images-cdn.wolt.com/5fc0c0ccfc85a1df04988f73/4fef12fa-86fe-11eb-afcb-8e568094f854_cover.jpg,"Sabail district, Haji Zeynalabdin Tagiyev str. 21 A",AZ1000 Baku,"https://maps.google.com/?q=40.370615574027674,49.83867969992176","Rain or shine, it’s time to dine",+994507337377,https://wolt.com/en/discovery
41,La Vera Pizza,İtalyan üsulu ilə odun atəşində bişirilmiş pizzalar sizi gözləyir!,$$,8.8,"pizza, sup, salat",https://prod-wolt-venue-images-cdn.wolt.com/5e2977e3e8fc194171b4e3ed/1e386ff6-3dce-11ea-95ec-0a5864733d0b_QARSHIQ.jpg,https://wolt.com/az/aze/baku/restaurant/la-vera-pizza,https://prod-wolt-venue-images-cdn.wolt.com/5e2977e3e8fc194171b4e3ed/2d45f78e-3dce-11ea-8510-0a5864733d0b_CALZONE%20FUNGI%20POLO%20%283%29.jpg,Mardanov Gardashları str. 6,az1000 Baku,"https://maps.google.com/?q=40.37173974621931,49.84101504192625",İtalyan üsulu ilə odun atəşində bişirilmiş pizzalar sizi gözləyir!,+99412498 98 32,https://www.facebook.com/pg/LaVeraPizzaBaku/about/?ref=page_internal
42,Kebab Express,Tez və Dadlı!,$$,7.8,"kəbab, roll, qablaşdırma",https://prod-wolt-venue-images-cdn.wolt.com/5e316f7c773812a11feac16a/3eecf59a-428e-11ea-b9ff-0a586474b206_A.png,https://wolt.com/az/aze/baku/restaurant/kebab-express,https://prod-wolt-venue-images-cdn.wolt.com/5e316f7c773812a11feac16a/43562354-428e-11ea-8d78-0a586474b206_A%20%281%29.png,Mardanov Gardashları str. 6,az1000 Baku,"https://maps.google.com/?q=40.371730552240194,49.841030574684204",Tez və Dadlı!,+99412498 98 32,https://www.facebook.com/pg/KebabExpressBaku/about/?ref=page_internal
43,Adam's Curry,Çin və Hindistan Mətbəxi 🥢,$$,8.2,"hindi, çin, vegetarian",https://prod-wolt-venue-images-cdn.wolt.com/5fae8e1e2dba9acb66d0685e/ab217eba-28a8-11eb-96da-7e2cf4686b55_img_2519.jpg,https://wolt.com/az/aze/baku/restaurant/adams-curry,https://prod-wolt-venue-images-cdn.wolt.com/5fae8e1e2dba9acb66d0685e/b084c66e-28a8-11eb-97b4-7e2cf4686b55_img_2525.jpg,"Haji Zeynalabdin Tagiyev str., 19",AZ1000 Baku,"https://maps.google.com/?q=40.3709943,49.8379184",Çin və Hindistan Mətbəxi 🥢,+994552882408,https://wolt.com/az/
44,GAIA Restaurant,"""Gaia""da təqdim olunan çeşid-çeşid yeməklər, içkilər və məzələrin dadı damağınızdan getməyəcək. 😉",$$,,"avropa, steyk, salat",https://prod-wolt-venue-images-cdn.wolt.com/604b147f01867e745c6ce7a0/a461abea-88a2-11eb-ac45-5e18586788a1_img_1075.jpg,https://wolt.com/az/aze/baku/restaurant/gaia-restaurant,https://prod-wolt-venue-images-cdn.wolt.com/604b147f01867e745c6ce7a0/b0f2c362-88a2-11eb-9373-3ebcdc75db9e_img_1064.jpg,GAİA restaraunt,AZ1005 Baku,"https://maps.google.com/?q=40.370735,49.8382322","""Gaia""da təqdim olunan çeşid-çeşid yeməklər, içkilər və məzələrin dadı damağınızdan getməyəcək. 😉",+994518808988,https://www.instagram.com/gaia_baku/
45,Paşa Dönər Fəvvarələr Meydanı,Dönər və daha çox,$$,,"dönər, toyuq, fastfud",https://prod-wolt-venue-images-cdn.wolt.com/5f77013b1b680e865ece7923/0c8e3d0a-049b-11eb-b987-02da8c9a7e8b_pasha_gr.jpg,https://wolt.com/az/aze/baku/restaurant/pasha-doner-fountain-square,https://prod-wolt-venue-images-cdn.wolt.com/5f77013b1b680e865ece7923/128fbd3c-049b-11eb-ad48-f64362b72d68_pasha_cl.jpg,Fountain Square,AZ1058 Baku,"https://maps.google.com/?q=40.37073383812349,49.8375706342819",Dönər və daha çox,+994552128512,https://www.facebook.com/Pashadonerbaku/
46,Compass Pub West,Sizi xoş və ləzzətlə təəccübləndirəcəyik!,$$,8.8,"alcohol, pivə, Acılı Qanadlar",https://prod-wolt-venue-images-cdn.wolt.com/5ef0f33338c59679f7c561b2/19516f26-b621-11ea-8b92-76f28a4377d5_img_5218.jpg,https://wolt.com/az/aze/baku/restaurant/compass-pub-west,https://prod-wolt-venue-images-cdn.wolt.com/5ef0f33338c59679f7c561b2/689bb610-b589-11ea-b1d1-a68c9f3042e5_img_5133.jpg,"Sabail district, Tarlan Aliyarbayov str. 12",AZ1000 Baku,"https://maps.google.com/?q=40.37017690685506,49.83809472134039",Sizi xoş və ləzzətlə təəccübləndirəcəyik!,+994502911888,https://www.instagram.com/compasspub.west/
47,Kuba Lounge & Bar, ,$$,,"meksikan, pasta, desert",https://prod-wolt-venue-images-cdn.wolt.com/5eb54c21b1c95eb8913109e4/4da816d8-9125-11ea-b0d6-0a58646e6129_bolognese.jpg,https://wolt.com/az/aze/baku/restaurant/kuba-lounge-bar,https://prod-wolt-venue-images-cdn.wolt.com/5eb54c21b1c95eb8913109e4/558b9a1e-9125-11ea-9398-0a58646f2906_popcorn_chicken.jpg,Rasul Rza str. 11,AZ1000 Baku,"https://maps.google.com/?q=40.3710104,49.8401636",Sizi ac qoymayacağıq!,+994125550000,https://www.facebook.com/kubaloungebar/
48,Shokoladnitsa,"Sizi, ""Shokoladnitsa""-nın olduqca fərqli çeşidi ilə tanış olmağa dəvət edirik!",$$,8.4,"çörək, kofe, desert",https://prod-wolt-venue-images-cdn.wolt.com/5e85dc518c8fe69564e36648/1bd69386-7e48-11ea-991c-0a58647e8da1_screen_shot_2020_04_14_at_16.03.28.png,https://wolt.com/az/aze/baku/restaurant/shokoladnitsa,https://prod-wolt-venue-images-cdn.wolt.com/5e85dc518c8fe69564e36648/33adb600-74df-11ea-9d88-0a58647f8458_AV0A5077-Edit.jpg,"Sabail dist, Nizami str. 73",az1000 Baku,"https://maps.google.com/?q=40.37237092730699,49.837894454342816","Sizi, ""Shokoladnitsa""-nın olduqca fərqli çeşidi ilə tanış olmağa dəvət edirik!",+994124930482,https://www.facebook.com/pg/Shokoladnitsa/
49,Namaste,Hindistan mətbəxi,$$,8.8,"toyuq, hindi, quzu əti",https://prod-wolt-venue-images-cdn.wolt.com/5ed77c9afee479fb6df7a47d/2136e47e-a720-11ea-b0e9-0a5864788c5a_img_4467.jpg,https://wolt.com/az/aze/baku/restaurant/namastebaku,https://prod-wolt-venue-images-cdn.wolt.com/5ed77c9afee479fb6df7a47d/29d64908-a720-11ea-b0b8-0a5864736b65_img_4470.jpg,"Tarlan Aliyerbeyov str. 12, flat 2",AZ1005 Baku,"https://maps.google.com/?q=40.37029102275594,49.837952251581875",Hindistan mətbəxi,+994552882408,https://wolt.com
